Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLine_Html,CountLine_Javascript,CountLine_Php,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCode_Javascript,CountLineCode_Php,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Private Constructor,"org.json.XMLParserConfiguration.XMLParserConfiguration",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,22,,,,0,,,,9,,,3,5,13,,,,8,1,0,5,6,1,,,5,,,1,1,1,1,0,,,,,0,,0,0,,,"1.44",1,1,1,1
Protected Method,"org.json.XMLParserConfiguration.clone",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,19,,,,0,,,,11,,,2,8,8,,,,2,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,"0.73",1,1,1,1
Public Method,"org.json.XMLParserConfiguration.getForceList",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,8,,,,0,,,,3,,,1,1,5,,,,1,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,"1.67",1,1,1,1
Public Method,"org.json.XMLParserConfiguration.getXsiTypeMap",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,10,,,,0,,,,3,,,1,1,7,,,,1,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,"2.33",1,1,1,1
Public Method,"org.json.XMLParserConfiguration.getcDataTagName",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,10,,,,0,,,,3,,,1,1,7,,,,1,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,"2.33",1,1,1,1
Public Method,"org.json.XMLParserConfiguration.isConvertNilAttributeToNull",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,10,,,,0,,,,3,,,1,1,7,,,,1,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,"2.33",1,1,1,1
Public Method,"org.json.XMLParserConfiguration.withConvertNilAttributeToNull",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,15,,,,0,,,,5,,,2,3,10,,,,3,1,0,3,4,2,,,3,,,1,1,1,1,0,,,,,0,,0,0,,,"2.00",1,1,1,1
Public Method,"org.json.XMLParserConfiguration.withForceList",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,12,,,,0,,,,6,,,3,4,6,,,,5,1,0,4,5,3,,,4,,,1,1,1,1,0,,,,,0,,0,0,,,"1.00",1,1,1,1
Public Method,"org.json.XMLParserConfiguration.withKeepStrings",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,13,,,,0,,,,4,,,2,1,9,,,,2,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,"2.25",1,1,1,1
Public Method,"org.json.XMLParserConfiguration.withMaxNestingDepth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,13,,,,0,,,,4,,,2,1,9,,,,2,1,0,1,2,1,,,1,,,1,1,1,1,0,,,,,0,,0,0,,,"2.25",1,1,1,1
